2024-06-23T22:09:25.826188 | SERVER_START | Juego_4 | 1 | 0 | 192.168.4.21 | n/a |  |
2024-06-23T22:09:47.880725 | INI_CONEX | Juego_4 | 1 | 0 | notebook1 | n/a |  |
2024-06-23T22:09:52.065360 | PLAYER_REG | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:09:52.065360 | PLAYER_REG | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:09:51.375287 | INI_CONEX | Juego_4 | 0 | 1 | notebook1 | n/a |  |
2024-06-23T22:09:51.375287 | GET_TEAM_DATA | Juego_4 | 1 | 0 | notebook1 | n/a |  |
2024-06-23T22:09:55.544620 | SEND_TEAM_INFO | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:09:55.544620 | SEND_TEAM_INFO | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:09:53.444161 | INI_CONEX | Juego_4 | 1 | 0 | notebook2 | n/a |  |
2024-06-23T22:09:57.611970 | PLAYER_REG | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook2 |
2024-06-23T22:09:57.611970 | PLAYER_REG | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook2 |
2024-06-23T22:09:54.983687 | GET_TEAM_DATA | Juego_4 | 0 | 1 | notebook1 | n/a |  |
2024-06-23T22:09:54.983687 | SELECT_TEAM | Juego_4 | 1 | 0 | notebook1 | n/a |  |
2024-06-23T22:09:55.942512 | INI_CONEX | Juego_4 | 0 | 1 | notebook2 | n/a |  |
2024-06-23T22:09:55.942512 | GET_TEAM_DATA | Juego_4 | 1 | 0 | notebook2 | n/a |  |
2024-06-23T22:10:00.104367 | SEND_TEAM_INFO | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook2 |
2024-06-23T22:10:00.104367 | SEND_TEAM_INFO | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook2 |
2024-06-23T22:09:56.535224 | INI_CONEX | Juego_4 | 1 | 0 | notebook3 | n/a |  |
2024-06-23T22:10:00.703028 | PLAYER_REG | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook3 |
2024-06-23T22:10:00.703028 | PLAYER_REG | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook3 |
2024-06-23T22:09:58.538176 | GET_TEAM_DATA | Juego_4 | 0 | 1 | notebook2 | n/a |  |
2024-06-23T22:09:58.538176 | SELECT_TEAM | Juego_4 | 1 | 0 | notebook2 | n/a |  |
2024-06-23T22:09:58.707290 | INI_CONEX | Juego_4 | 0 | 1 | notebook3 | n/a |  |
2024-06-23T22:09:58.707290 | GET_TEAM_DATA | Juego_4 | 1 | 0 | notebook3 | n/a |  |
2024-06-23T22:10:02.887218 | SEND_TEAM_INFO | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook3 |
2024-06-23T22:10:02.887218 | SEND_TEAM_INFO | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook3 |
2024-06-23T22:10:03.843075 | TEAM_MANAGEMENT | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:10:03.843075 | TEAM_MANAGEMENT | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | GET_INTO_TEAM: 0 |
2024-06-23T22:10:00.978726 | GET_TEAM_DATA | Juego_4 | 0 | 1 | notebook3 | n/a |  |
2024-06-23T22:10:00.978726 | SELECT_TEAM | Juego_4 | 1 | 0 | notebook3 | n/a |  |
2024-06-23T22:10:03.174186 | SELECT_TEAM | Juego_4 | 0 | 1 | notebook1 | 0 |  |
2024-06-23T22:10:09.929517 | TEAM_MANAGEMENT | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook2 |
2024-06-23T22:10:09.929517 | VOTE_MANAGEMENT | Juego_4 | 1 | 0 | 192.168.4.21 | 0 | NICK: notebook2 |
2024-06-23T22:10:08.195490 | GAME_ACTIONS | Juego_4 | 1 | 0 | notebook1 | 0 | VOTE_MANAGEMENT |
2024-06-23T22:10:10.347435 | GAME_ACTIONS | Juego_4 | 0 | 1 | notebook1 | 0 | VOTE_MANAGEMENT: notebook2 -> y |
2024-06-23T22:10:15.017218 | TEAM_MANAGEMENT | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | GET_INTO_TEAM: 0 |
2024-06-23T22:10:16.033103 | VOTE_MANAGEMENT | Juego_4 | 0 | 1 | 192.168.4.21 | 0 | NICK: notebook2 |
2024-06-23T22:10:16.033103 | VOTE_MANAGEMENT | Juego_4 | 0 | 1 | 192.168.4.21 | 0 | NICK: notebook2 |
2024-06-23T22:10:13.245855 | SELECT_TEAM | Juego_4 | 0 | 1 | notebook2 | 0 |  |
2024-06-23T22:10:33.164682 | TEAM_MANAGEMENT | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook3 |
2024-06-23T22:10:33.164682 | VOTE_MANAGEMENT | Juego_4 | 1 | 0 | 192.168.4.21 | 0 | NICK: notebook3 |
2024-06-23T22:10:32.046898 | GAME_ACTIONS | Juego_4 | 1 | 0 | notebook1 | 0 | VOTE_MANAGEMENT |
2024-06-23T22:10:32.076910 | GAME_ACTIONS | Juego_4 | 1 | 0 | notebook2 | 0 | VOTE_MANAGEMENT |
2024-06-23T22:10:35.061017 | GAME_ACTIONS | Juego_4 | 0 | 1 | notebook1 | 0 | VOTE_MANAGEMENT: notebook3 -> y |
2024-06-23T22:10:36.883546 | GAME_ACTIONS | Juego_4 | 0 | 1 | notebook2 | 0 | VOTE_MANAGEMENT: notebook3 -> y |
2024-06-23T22:10:41.279101 | TEAM_MANAGEMENT | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | GET_INTO_TEAM: 0 |
2024-06-23T22:10:37.709585 | SELECT_TEAM | Juego_4 | 0 | 1 | notebook3 | 0 |  |
2024-06-23T22:10:42.308968 | VOTE_MANAGEMENT | Juego_4 | 0 | 1 | 192.168.4.21 | 0 | NICK: notebook3 |
2024-06-23T22:10:42.308968 | VOTE_MANAGEMENT | Juego_4 | 0 | 1 | 192.168.4.21 | 0 | NICK: notebook3 |
2024-06-23T22:10:42.308968 | VOTE_MANAGEMENT | Juego_4 | 0 | 1 | 192.168.4.21 | 0 | NICK: notebook3 |
2024-06-23T22:10:44.064613 | INI_CONEX | Juego_4 | 1 | 0 | notebook4 | n/a |  |
2024-06-23T22:10:48.239753 | PLAYER_REG | Juego_4 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook4 |
2024-06-23T22:10:48.239753 | PLAYER_REG | Juego_4 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook4 |
2024-06-23T22:10:45.690331 | INI_CONEX | Juego_4 | 0 | 1 | notebook4 | n/a |  |
2024-06-23T22:10:45.690331 | GET_TEAM_DATA | Juego_4 | 1 | 0 | notebook4 | n/a |  |
