2024-06-23T22:03:42.616477 | SERVER_START | Juego_1 | 1 | 0 | 192.168.4.21 | n/a |  |
2024-06-23T22:04:22.515253 | PLAYER_REG | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: user1 |
2024-06-23T22:04:22.515253 | PLAYER_REG | Juego_1 | 0 | 1 | 192.168.4.21 | n/a | NICK: user1 |
2024-06-23T22:04:22.495706 | INI_CONEX | Juego_1 | 1 | 0 | user1 | n/a |  |
2024-06-23T22:04:24.750325 | SEND_TEAM_INFO | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: user1 |
2024-06-23T22:04:24.734279 | INI_CONEX | Juego_1 | 0 | 1 | user1 | n/a |  |
2024-06-23T22:04:24.750325 | SEND_TEAM_INFO | Juego_1 | 0 | 1 | 192.168.4.21 | n/a | NICK: user1 |
2024-06-23T22:04:27.081071 | GET_TEAM_DATA | Juego_1 | 0 | 1 | user1 | n/a |  |
2024-06-23T22:04:27.081071 | SELECT_TEAM | Juego_1 | 1 | 0 | user1 | n/a |  |
2024-06-23T22:04:28.480097 | TEAM_MANAGEMENT | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: user1 |
2024-06-23T22:04:28.480097 | TEAM_MANAGEMENT | Juego_1 | 0 | 1 | 192.168.4.21 | n/a | GET_INTO_TEAM: 0 |
2024-06-23T22:04:30.736453 | SELECT_TEAM | Juego_1 | 0 | 1 | user1 | 0 |  |
2024-06-23T22:04:55.082817 | INI_CONEX | Juego_1 | 1 | 0 | notebook1 | n/a |  |
2024-06-23T22:04:59.258425 | PLAYER_REG | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:04:59.258425 | PLAYER_REG | Juego_1 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:04:56.362863 | INI_CONEX | Juego_1 | 0 | 1 | notebook1 | n/a |  |
2024-06-23T22:04:56.362863 | GET_TEAM_DATA | Juego_1 | 1 | 0 | notebook1 | n/a |  |
2024-06-23T22:05:00.542647 | SEND_TEAM_INFO | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:05:00.542647 | SEND_TEAM_INFO | Juego_1 | 0 | 1 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:04:57.766413 | GET_TEAM_DATA | Juego_1 | 0 | 1 | notebook1 | n/a |  |
2024-06-23T22:04:57.766413 | SELECT_TEAM | Juego_1 | 1 | 0 | notebook1 | n/a |  |
2024-06-23T22:05:24.422749 | TEAM_MANAGEMENT | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: notebook1 |
2024-06-23T22:05:24.422749 | TEAM_MANAGEMENT | Juego_1 | 0 | 1 | 192.168.4.21 | n/a | GET_INTO_TEAM: 1 |
2024-06-23T22:05:24.423749 | GAME_RUNNING | Juego_1 | 1 | 0 | 192.168.4.21 | 0 | NPLAYERS: 1 |
2024-06-23T22:05:24.500092 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | SEND_DICE |
2024-06-23T22:05:21.557696 | SELECT_TEAM | Juego_1 | 0 | 1 | notebook1 | 1 |  |
2024-06-23T22:05:44.476765 | PLAYER_REG | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: user2 |
2024-06-23T22:05:44.476765 | PLAYER_REG | Juego_1 | 0 | 1 | 192.168.4.21 | n/a | NICK: user2 |
2024-06-23T22:05:44.461365 | INI_CONEX | Juego_1 | 1 | 0 | user2 | n/a |  |
2024-06-23T22:05:49.454044 | SEND_TEAM_INFO | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: user2 |
2024-06-23T22:05:49.438576 | GET_TEAM_DATA | Juego_1 | 1 | 0 | user2 | n/a |  |
2024-06-23T22:05:49.454044 | SEND_TEAM_INFO | Juego_1 | 0 | 1 | 192.168.4.21 | n/a | NICK: user2 |
2024-06-23T22:05:54.515185 | GET_TEAM_DATA | Juego_1 | 0 | 1 | user2 | n/a |  |
2024-06-23T22:05:54.515185 | SELECT_TEAM | Juego_1 | 1 | 0 | user2 | n/a |  |
2024-06-23T22:05:58.370174 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | SEND_DICE: 2 |
2024-06-23T22:05:58.764146 | GAME_RUNNING | Juego_1 | 0 | 1 | 192.168.4.21 | 0 | NPLAYERS: 1 |
2024-06-23T22:05:58.764146 | GAME_RUNNING | Juego_1 | 1 | 0 | 192.168.4.21 | 1 | NPLAYERS: 1 |
2024-06-23T22:05:54.643337 | GAME_ACTIONS | Juego_1 | 1 | 0 | notebook1 | 1 | SEND_DICE |
2024-06-23T22:06:03.808354 | TEAM_MANAGEMENT | Juego_1 | 1 | 0 | 192.168.4.21 | n/a | NICK: user2 |
