2024-06-20T15:05:20.146320 | INI_CONEX | Juego_1 | 1 | 0 | user1 | n/a |  |
2024-06-20T15:05:20.161379 | PLAYER_REG | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user1 |
2024-06-20T15:05:20.161379 | PLAYER_REG | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | NICK: user1 |
2024-06-20T15:05:24.830646 | SEND_TEAM_INFO | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user1 |
2024-06-20T15:05:24.830646 | SEND_TEAM_INFO | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | NICK: user1 |
2024-06-20T15:05:24.815361 | INI_CONEX | Juego_1 | 0 | 1 | user1 | n/a |  |
2024-06-20T15:05:24.815361 | GET_TEAM_DATA | Juego_1 | 1 | 0 | user1 | n/a |  |
2024-06-20T15:05:29.627285 | GET_TEAM_DATA | Juego_1 | 0 | 1 | user1 | n/a |  |
2024-06-20T15:05:29.627285 | SELECT_TEAM | Juego_1 | 1 | 0 | user1 | n/a |  |
2024-06-20T15:05:41.547152 | TEAM_MANAGEMENT | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user1 |
2024-06-20T15:05:41.547152 | TEAM_MANAGEMENT | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | GET_INTO_TEAM: 0 |
2024-06-20T15:05:46.271410 | SELECT_TEAM | Juego_1 | 0 | 1 | user1 | 0 |  |
2024-06-20T15:06:06.298435 | PLAYER_REG | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user2 |
2024-06-20T15:06:06.298435 | PLAYER_REG | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | NICK: user2 |
2024-06-20T15:06:11.066348 | SEND_TEAM_INFO | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user2 |
2024-06-20T15:06:11.066348 | SEND_TEAM_INFO | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | NICK: user2 |
2024-06-20T15:06:06.279364 | INI_CONEX | Juego_1 | 1 | 0 | user2 | n/a |  |
2024-06-20T15:06:11.050828 | INI_CONEX | Juego_1 | 0 | 1 | user2 | n/a |  |
2024-06-20T15:06:11.050828 | GET_TEAM_DATA | Juego_1 | 1 | 0 | user2 | n/a |  |
2024-06-20T15:06:15.980243 | GET_TEAM_DATA | Juego_1 | 0 | 1 | user2 | n/a |  |
2024-06-20T15:06:15.980243 | SELECT_TEAM | Juego_1 | 1 | 0 | user2 | n/a |  |
2024-06-20T15:06:18.748947 | TEAM_MANAGEMENT | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user2 |
2024-06-20T15:06:18.748947 | TEAM_MANAGEMENT | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | GET_INTO_TEAM: 1 |
2024-06-20T15:06:18.749946 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 0 | NPLAYERS: 1 |
2024-06-20T15:06:18.764471 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | SEND_DICE |
2024-06-20T15:06:23.573387 | SELECT_TEAM | Juego_1 | 0 | 1 | user2 | 1 |  |
2024-06-20T15:06:50.524556 | PLAYER_REG | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user3 |
2024-06-20T15:06:50.524556 | PLAYER_REG | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | NICK: user3 |
2024-06-20T15:06:54.680305 | SEND_TEAM_INFO | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user3 |
2024-06-20T15:06:54.680305 | SEND_TEAM_INFO | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | NICK: user3 |
2024-06-20T15:06:50.508454 | INI_CONEX | Juego_1 | 1 | 0 | user3 | n/a |  |
2024-06-20T15:06:54.664278 | INI_CONEX | Juego_1 | 0 | 1 | user3 | n/a |  |
2024-06-20T15:06:54.664278 | GET_TEAM_DATA | Juego_1 | 1 | 0 | user3 | n/a |  |
2024-06-20T15:06:56.137501 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 0 | NPLAYERS: 1 |
2024-06-20T15:06:56.137501 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 1 | NPLAYERS: 1 |
2024-06-20T15:06:56.137501 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | SEND_DICE: 2 |
2024-06-20T15:06:56.215558 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | SEND_DICE |
2024-06-20T15:06:58.963468 | GET_TEAM_DATA | Juego_1 | 0 | 1 | user3 | n/a |  |
2024-06-20T15:06:58.963468 | SELECT_TEAM | Juego_1 | 1 | 0 | user3 | n/a |  |
2024-06-20T15:07:02.187467 | TEAM_MANAGEMENT | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user3 |
2024-06-20T15:07:02.187467 | TEAM_MANAGEMENT | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | CREATE_NEW_TEAM: 2 |
2024-06-20T15:07:02.187467 | TEAM_MANAGEMENT | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | GET_INTO_TEAM: 2 |
2024-06-20T15:07:06.447444 | SELECT_TEAM | Juego_1 | 0 | 1 | user3 | 2 |  |
2024-06-20T15:08:23.018136 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | SEND_DICE: 9 |
2024-06-20T15:08:25.248377 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 1 | NPLAYERS: 1 |
2024-06-20T15:08:25.248377 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 2 | NPLAYERS: 1 |
2024-06-20T15:08:25.294906 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | SEND_DICE |
2024-06-20T15:08:25.829515 | GAME_ACTIONS | Juego_1 | 0 | 1 | user3 | 2 | SEND_DICE: 10 |
2024-06-20T15:08:35.273941 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 2 | NPLAYERS: 1 |
2024-06-20T15:08:35.273941 | SEND_GAME_STATS | Juego_1 | 1 | 0 | 127.0.0.1 |  |  |
2024-06-20T15:08:35.273941 | SEND_GAME_STATS | Juego_1 | 0 | 1 | 127.0.0.1 |  | Team: 0 - Points 2 +Team: 1 - Points 9 +Team: 2 - Points 10 + |
2024-06-20T15:08:35.305127 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | GET_GAME_STATS |
2024-06-20T15:08:35.336014 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | GET_GAME_STATS |
2024-06-20T15:08:35.336014 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | GET_GAME_STATS |
2024-06-20T15:08:35.585906 | GAME_ACTIONS | Juego_1 | 0 | 1 | user3 | 2 | GET_GAME_STATS |
2024-06-20T15:08:35.601185 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | GET_GAME_STATS |
2024-06-20T15:08:35.648144 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | GET_GAME_STATS |
2024-06-20T15:08:37.470449 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 0 | NPLAYERS: 1 |
